uid,name,blurb,password
1,Misty Ketchum,Trainer from Pallet Town.,Toz9wrbRJp
2,Ash Waterflower,I love Pokemon,KbTxwHfRGx
3,Dawn Ketchum,I love Pokemon,OpRUhaIktj
4,Misty Shigeru,Trainer from Pallet Town.,ZFQesVncd6
5,Blue Maple,I love Pokemon,Lg45feXCRV
6,Gary Maple,Trainer from Pallet Town.,6oyqA5ZpzN
7,Brock Yvonne,Docker is so cool,OIFcuf6WOI
8,Dawn Shigeru,Trainer from Pallet Town.,vjCLTqS3m8
9,Serena Waterflower,I love Pokemon,8CH4ntYoTZ
10,Brock Shigeru,Trainer from Pallet Town.,zXCfvoqBLK
11,Brock Stone,I love Pokemon,e7bb6exK8n
12,Gary Maple,Trainer from Pallet Town.,zUYSMkOULn
13,Serena Waterflower,I love Pokemon,M3p3b6HpwU
14,May Stone,I love Pokemon,HNyqBVfXN8
15,Gary Maple,I love Pokemon,4ihCrcjeaW
16,Green Leaf,Trainer from Pallet Town.,NesH2aAja3
17,Dawn Leaf,I love Pokemon,xx0eSvhlyw
18,Ash Ketchum,Trainer from Pallet Town.,BOUg4ZiPrQ
19,Dawn Oak,Trainer from Pallet Town.,yCEP9DU3wR
20,Red Satoshi,I love Pokemon,HqvEUT8HBo
